[2024-11-08 10:15:26] WARNING: E_WARNING: rename(data\tmp\tmpCE14.tmp,data/cache/application/ormMetadata.php): Access is denied (code: 5)
[2024-11-08 10:15:29] WARNING: E_WARNING: rename(data\tmp\tmpDA72.tmp,data/cache/application/classmapControllers.php): Access is denied (code: 5)
[2024-11-08 10:18:05] WARNING: E_WARNING: file_put_contents(data/cache/application/slim-routes.php): Failed to open stream: No such file or directory
[2024-11-08 18:21:44] ERROR: (0) JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'. :: POST /Admin/rebuild :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:21:44] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:21:44] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:21:48] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:21:53] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:22:03] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:22:03] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:22:13] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:22:18] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:22:23] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:22:33] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:22:33] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:22:43] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:22:48] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:22:53] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:03] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:03] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:13] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:18] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:23] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:33] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:33] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
